Wavelength,Ave Power
1527.60 ,-25.90625
1527.99 ,-26.09038461538463
1528.38 ,-26.775555555555552
1528.77 ,-27.673913043478255
1529.16 ,-27.653846153846164
1529.55 ,-26.92941176470588
1529.94 ,-27.039285714285718
1530.33 ,-26.95344827586208
1530.72 ,-27.020000000000014
1531.12 ,-27.742222222222217
1531.51 ,-27.826415094339623
1531.90 ,-27.27254901960784
1532.29 ,-26.931372549019596
1532.68 ,-26.884444444444444
1533.07 ,-27.268888888888892
1533.47 ,-27.146000000000004
1533.86 ,-26.70784313725489
1534.25 ,-26.482
1534.64 ,-26.477777777777774
1535.04 ,-27.164705882352948
1535.43 ,-27.19545454545454
1535.82 ,-26.43541666666667
1536.22 ,-25.476923076923075
1536.61 ,-25.276
1537.00 ,-25.640000000000008
1537.40 ,-26.42600000000001
1537.79 ,-26.759090909090904
1538.19 ,-25.993877551020407
1538.58 ,-25.174999999999997
1538.98 ,-24.84888888888889
1539.37 ,-25.179591836734687
1539.77 ,-25.981818181818188
1540.16 ,-26.014285714285705
1540.56 ,-25.36938775510204
1540.95 ,-24.80199999999999
1541.35 ,-24.611363636363638
1541.75 ,-25.120408163265306
1542.14 ,-25.368888888888893
1542.54 ,-24.784000000000002
1542.94 ,-24.657142857142862
1543.33 ,-24.691891891891892
1543.73 ,-25.172000000000004
1544.13 ,-25.466666666666672
1544.53 ,-24.584313725490187
1544.92 ,-23.774
1545.32 ,-23.966666666666676
1545.72 ,-24.39803921568628
1546.12 ,-25.070000000000004
1546.52 ,-25.273333333333337
1546.92 ,-24.650980392156868
1547.32 ,-23.739999999999995
1547.72 ,-23.500000000000004
1548.11 ,-24.203921568627454
1548.51 ,-25.04318181818182
1548.91 ,-25.039130434782614
1549.32 ,-24.551999999999992
1549.72 ,-24.25111111111111
1550.12 ,-24.165217391304346
1550.52 ,-24.509803921568636
1550.92 ,-24.702272727272717
1551.32 ,-24.23777777777778
1551.72 ,-24.047727272727276
1552.12 ,-24.238000000000007
1552.52 ,-24.39782608695652
1552.93 ,-24.734090909090902
1553.33 ,-24.50816326530613
1553.73 ,-24.099999999999994
1554.13 ,-23.894594594594594
1554.54 ,-24.193877551020403
1554.94 ,-24.880434782608695
1555.34 ,-25.220454545454537
1555.75 ,-24.966000000000008
1556.15 ,-24.62
1556.55 ,-24.641176470588235
1556.96 ,-24.917999999999996
1557.36 ,-25.55777777777778
1557.77 ,-25.775999999999996
1558.17 ,-25.64285714285714
1558.58 ,-25.758695652173905
1558.98 ,-25.78
1559.39 ,-26.010204081632658
1559.79 ,-26.084444444444454
1560.20 ,-25.892156862745093
1560.61 ,-25.555555555555564
1561.01 ,-25.941176470588236
1561.42 ,-26.566
1561.83 ,-26.789795918367346
1562.23 ,-26.39565217391304
1562.64 ,-25.7590909090909
1563.05 ,-25.414
1563.45 ,-25.741176470588222
1563.86 ,-26.541176470588244
1564.27 ,-26.756818181818176
1564.68 ,-26.633333333333336
1565.09 ,-26.208888888888886
1565.50 ,-26.428571428571423
1565.90 ,-26.724999999999998
1566.31 ,-27.10784313725491
1566.72 ,-26.888888888888882
